@Username,Tweet,Lokasi
Dinaismawardan1,"Muhaimin Iskandar, Cak Imin meraih posisi teratas dalam survei SMRC yang mengukur tingkat elektabilitas beberapa tokoh NU
https://t.co/DnXhPS5Zrx",
bundazira_sari,Cak Imin raih dukungan teratas dalam survei SMRC https://t.co/LXYBtuw5gX,"Lampung, Indonesia"
wpuji992,"https://t.co/sC2MXqE7jC

Baca artikel detiknews, ""Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC"" selengkapnya https://t.co/OBMPFpwSdk.

Download Apps Detikcom Sekarang https://t.co/cQjC2xtHqF",
liputan6dotcom,"Umumkan soal Capres-Cawapres, Cak Imin: Semoga Bulan Depan Ada Keputusan https://t.co/dRM2KrJDCJ",INDONESIA
Samuder53291026,"10 tahun yg lalu saat menggantar #MariAlkatiri silaturaheem ke rumah dinas @cakimiNOW,beliau sambil bercanda mengatakan bhw apapun yg dilakukan dan di prediksi ttg #Pesantren akhirnya #PKB juga yg jadi pilihan para Kyahi dan Santri.Jatim gudangnya Pesantren tanpa #Cakimin, hati2! https://t.co/Dv8wRxS6cX","DKI Jakarta, Indonesia"
Disuruh_Iben,Ijtima Ulama Nusantara: Cak Imin harus menangkan PKB pada 2024 - ANTARA Jogja https://t.co/af1KIasX7h #IndonesiaKuat #BangkitBersama,Pulau Impian
Samuder53291026,"@prabowo konon berpeluang kalah di #Jatim krn @KhofifahIP lbh menjanjikan.ttp jgn lupa ada #PKB yg jadi mesin suara di sini dan itu identik dgn #CakImin bukan #khofifah.Krn @Gerindra belum memenuhi PT 20%. Dibutuhkan komitmen dlm berkoalisi. 
@cakiminNOW
https://t.co/afcjs0h3jQ","DKI Jakarta, Indonesia"
PutraHazell,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
AnjaniRiffa,"Ada Sinyal Duet Prabowo dan Khofifah di Pilpres 2024, Bagaimana Nasib Cak Imin?.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
haelamarie,Prabowo Cak Imin Kemungkinan Dideklarasikan Sebelum Ramadan - https://t.co/nlxPe7gcLy https://t.co/vb9OaYaxfK #IndonesiaKuat #BangkitBersama,Indonesia
RifanaTanto,"Cak Imin Mengaku Tak Tahu soal Pertemuan Prabowo-Khofifah.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Merdeka
rmp_officials,"@YanieAhmed00 @cakimiNOW @DanielJohanw Betul syekali, jadi pengen sungkem nih ke Bang Daniel",
RCendira,"""Jika Prabowo memilih Khofifah sebagai cawapresnya, Cak Imin masih punya waktu untuk membawa PKB ke mana dengan syarat kursi cawapres harus miliknya,"" jelas Arifki.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",Seraton
rmp_officials,@AndreOyounkz @cakimiNOW @erickthohir Hehe jadi inget wakmin torik,
rmp_officials,@rege_sarifudin @cakimiNOW Amin ya rabb alamin,
rioseptiann_,"Ada Sinyal Duet Prabowo dan Khofifah di Pilpres 2024, Bagaimana Nasib Cak Imin?.

capres2024

pemilu2024

dekade08

terusmajubersamaprabowo

mendingprabowo",
BentengSumbar,"PKB Halangi Khofifah Saingi Cak Imin: Lebih Baik Lanjut Jadi Gubernur Jatim

https://t.co/hSBN1TEk5g",Padang
satupersepsi,"- Social Experiment -

Kami memberikan beberapa pertanyaan kepada milenial dan gen z.
1. Kenal gak sama Gus Muhaimin?
2. Apa jabatan Gus Muhaimin saat ini?

Berikut hasilnya

#socialexperiment #satupersepsi #milenial #genz #gusmuhaimin #cakimin #pkb https://t.co/gYIFlceI9H","DKI Jakarta, Indonesia"
Mcl781,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/sy8ROcNXrm,
heraldindo,Kades Pasuruan-Probolinggo Dukung Cak Imin di Pilpres 2024 https://t.co/DCPkwhW14x,"Jakarta Selatan, DKI Jakarta"
UjangOfficial,"Cak imin raih dukungan teratas diuji kekuatan elektoral NU dari SMRC
https://t.co/rrnwgPJPe6
#pkb #gusmuhaimin #muhaiminiskandar #GusMuhaiminPresiden2024

@cakimiNOW 
@DPP_PKB
@SyaifulHooda
@jamaludin190680
@dpwpkbjabar
@Kosasih7Ujang
  @sahabat_k_ujang 
@UjangOfficial https://t.co/cSAJgbLE6w",
sahabat_k_ujang,"Cak imin raih dukungan teratas diuji kekuatan elektoral NU dari SMRC
https://t.co/rAmGtEIEoO
#pkb #gusmuhaimin #muhaiminiskandar #GusMuhaiminPresiden2024

@cakimiNOW 
@DPP_PKB
@SyaifulHooda
@jamaludin190680
@dpwpkbjabar
@Kosasih7Ujang
  @sahabat_k_ujang 
@UjangOfficial https://t.co/S1S9uTDQUH",
Aba_Mecca,@Umar_Hasibuan__ Cak Imin jg bakalan gabung 😂,Selalu di Hati
semangatperubah,"@ikkuncahyo @ruliemaulana Rulie ini lbh dr ahli hukum bang kuliahnya aja S4 lbh pinter dr Jaksa Agung, Dan Pak Mahfud MD..segala bebacotnya diiyain aja biar seneng","Banyumas, Indonesia"
Edy_sono,@Umar_Hasibuan__ Cak Imin kemana?,
MRohman1978,"Memang  sudah saatnya #GusMuhaiminBerangkat menjadi Pemimpin NKRI..
 
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/dcBERzENeB","Majalengka, Indonesia"
Disuruh_Iben,"IMM DKI Jakarta Gelar Bedah Gagasan Cak Imin, Kritisi Ide Tentang Indonesia - https://t.co/Z1QE1sPB8z https://t.co/dLZ4dK3AVm #IndonesiaKuat #BangkitBersama",Pulau Impian
Disuruh_Iben,Mahasiswa Muhammadiyah Gelar Bedah Buku Gagasan Cak Imin - https://t.co/v8eGYL9JfV https://t.co/iMaEnC0AAp #IndonesiaKuat #BangkitBersama,Pulau Impian
Disuruh_Iben,"Tak Terlihat Hadir di Harlah 1 Abad NU, PKB Sebut Cak Imin Kejebak Macet - VIVA - https://t.co/W4jcm9jFMS https://t.co/mhvEwV6qF9 #IndonesiaKuat #BangkitBersama",Pulau Impian
dpwpkbjabar,"Berdasarkan survei SMRC, diketahui tokoh2 utama NU saat ini yakni Muhaimin mendapat dukungan sebesar 18,2 persen. 
#survey #politik #pemilu2024  #GusMuhaimin #MuhaiminIskandar #cakimin #syaifulhuda #acepjamaludin #pkb #partai #nu
@dpp_pkb @cakiminow @syaifulhooda @AcepJamaludin01 https://t.co/oEU0jwg1UL","Kota Bandung, Jawa Barat"
Kop15achet,"@archabandung @cakimiNOW Nah, betul ini. Cakimin presiden, prabowo wapres.",
dpcbagustikep,"Bangkit  Bersama Untuk Indonsia💚🇮🇩
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/0Vni5abIk8",
Miss_Er,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/d5IgDFkffv,in my sweet home
NurMuchlis9,"#BudalGus
#GusMuhaiminBerangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/28XKNVVMLv","Demak, Indonesia"
TwobagoesRoes,"#BudalGus
#GusMuhaiminBerangkat

Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/KkqnHVsrz9",Bandung
Punya2015Riza,"Emang layak kok... Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC
@cakimiNOW
@DPP_PKB 
@dpwpkbjabar
@SyaifulHooda
@baGUSMUHAIMIN24
@Brigade01Arwan1
@CecepKholiludi1
https://t.co/F36yElE1Dn","DKI Jakarta, Indonesia"
TaminNamat,Gerindra: Cak Imin Termasuk Calon Kuat Cawapres Prabowo https://t.co/YjeLCRXQpl,
SyariJamah,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/IQohfOlo8I,
AsepBinangkit,"#BudalGus!
#GusMuhaiminBerangkat
@cakimiNOW
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/PI5eUlVAPC",Majalengka
talkaboutthis__,"Pertemuan Airlangga Hartarto dan Muhaimin Iskandar 💛💚 

#AirlanggaHartarto #golkarindonesia #PKB #MuhaiminIskandar #cakimin #capres2024 #pilores2024 #AntManAndTheWaspQuantumania https://t.co/QkXKX7sN0E",
Tarmizi_75,"#BudalGus
#GusMuhaiminBerangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC",
sutiyono_arif,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/jVplwbxy11,Jepara
A_hudaya21,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/QqS4BKjDgH,
Deje0411,"#BudalGus
#GusMuhaiminBerangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/uToufalrdD",
pkb_pabardaya,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

#gusmuhaiminteruji #GusMuhaiminBerangkat
https://t.co/xCk54evu5K","Papua Barat Daya, Indonesia"
albarmuges_,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

#gusmuhaiminteruji 
https://t.co/ugd15s8MZc","Papua Barat Daya, Indonesia"
Jazilul_Fawaid,"Temuan hasil riset ilmiah dr SMRC ini menjadi pelecut langkah perjuangan kami untuk mengantarkan Gus Muhaimin @cakimiNOW maju di Pilpres 2024.

#BudalGus
#GusMuhaimin 
#PKB 
#cakimin 

https://t.co/S3PdJTAqo8","DKI Jakarta, Indonesia"
henrisabastian1,"@OposisiCerdas Mampus,@cakimiNOW pasti mencak2.Utk apa PKB koalisi dgn Gerindra,kalo peluang wapres tertutup.Cak Imin hnya jadi gedibal?
La opo nunut ke Gerindra...oleh opo?
@DPP_PKB",
RyanBertutur,"*Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC*

https://t.co/uIr3EZlZhu

#BudalGus",Sumenep-Yogyakarta-Indonesia
DPP_PKB,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

https://t.co/DDvUco6GIk",Jalan Raden Saleh No 9 Jakarta
IsmailMangngaga,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC

https://t.co/lTVhjd755X","Sulawesi Selatan, Indonesia"
PKBKuningan,"Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC"" selengkapnya https://t.co/J5h8sArqCA.
#GusMuhaiminPresiden2024

@cakimiNOW
@EmHasanuddin
@Jazilul_Fawaid
@YanuarPrihatin1
@CucunA44
@kangmaman72
@DPP_PKB
@SyaifulHooda
@jamaludin190680
@JabarPkb
@Kosasih7Ujang",
SitikhairSitik1,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/ewpVulHDgN,
farida318,"#BudalGus
#GusMuhaiminBerangkat
Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/7OlCiAr0Vi",
AD1T_RG,"@tempodotco Jujur aja cak Imin ini banyak cacatnya di banding Khofifah at Mahfud MD, di satu sisi cak Imin nggak akur dgn klrg Gusdur.",Nederland
HariyantoSlame8,Sejumlah Kepala Daerah di Jatim Berikan Mandat ke Cak Imin Maju Pilpres 2024 | https://t.co/Fjctdpxren https://t.co/kKTnxQzYJz via @merdekadotcom,Nojup Malang Kabupaten 65391
tempodotco,PKB Halangi Khofifah Saingi Cak Imin: Lebih Baik Lanjut Jadi Gubernur Jatim https://t.co/XxseFWJ4sq #TempoNasional,Indonesia
liputan6dotcom,"IMM DKI Jakarta Gelar Bedah Gagasan Cak Imin, Kritisi Ide Tentang Indonesia https://t.co/ogvOjC6cjN",INDONESIA
masbams70,Cak Imin ⁦@cakimiNOW⁩ Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC https://t.co/qVJijRXxSG,"DKI Jakarta, Indonesia"
SitiSumiran,"Prabowo Subianto dan Ketua Umum PKB Muhaimin Iskandar atau Cak Imin 

Prabowo Subianto
#Prabowo
#IndonesiaKuat
#IndonesiaBangkit
#BangkitBersama",
SitiSumiran,"Restu Jokowi itu, kata Khoirul, juga memberikan angin surga bagi Cak Imin, 

Prabowo Subianto
#Prabowo
#IndonesiaKuat
#IndonesiaBangkit
#BangkitBersama",
arifkalbar69,"Cak Imin tidak bisa diragukan lagi soal ke-NU-an, beliau lahir, besar dan dididik oleh keluarga NU!

#GusMuhaimin #CakImin #BudalGus #GusMuhaiminBerangkat #NahdlatulUlama #1AbadNU #PKB #KebangkitanIndonesiaRaya #NU #SatuAbadNU #Politik @cakimiNOW @EmHasanuddin @zainul_munas https://t.co/OTVuYpw720",
wazaki12345,@alisyarief Ngabisin sisa honor bentar lagi beralih 😯😮🤗 ke Cak Imin 😯😮🤗,
billy4riez,Mahasiswa Muhammadiyah Gelar Bedah Gagasan Cak Imin https://t.co/npIiThXdAb @ImmDki,Jakarta
Disuruh_Iben,Cak Imin Raih Dukungan Teratas di Uji Kekuatan Elektoral NU dari SMRC - detikNews https://t.co/CX6Y3lLl9c #IndonesiaKuat #BangkitBersama,Pulau Impian
Disuruh_Iben,"363 Hari Menuju Pemilu - Pilpres 2024: JoMan Bentuk Prabowo Mania 08, Cak Imin Menguat Capres - Tribun Gorontalo https://t.co/l0iUveKMUe #IndonesiaKuat #BangkitBersama",Pulau Impian
Disuruh_Iben,Gerindra Sebut Cak Imin Cawapres Terkuat Dampingi Prabowo Subianto - https://t.co/v8eGYL9JfV https://t.co/7J6rO5bUGK #IndonesiaKuat #BangkitBersama,Pulau Impian
Disuruh_Iben,Gerindra Sebut Cak Imin Calon Terkuat Dampingi Prabowo Subianto di Pilpres - https://t.co/v8eGYL9JfV https://t.co/K6SA8IGKE4 #IndonesiaKuat #BangkitBersama,Pulau Impian
Disuruh_Iben,Persaingan Khofifah dan Cak Imin Semakin Kencang dan Panas - https://t.co/rMcvXyHo1a - https://t.co/rMcvXyHo1a https://t.co/cGTaxDrCTZ #IndonesiaKuat #BangkitBersama,Pulau Impian
Disuruh_Iben,"1 Abad NU, Cak Imin Tidak Nampak Hadiri Puncak Resepsi 1 Abad Nahdlatul Ulama di Sidoarjo - Bondowoso Network - Bondowoso Network https://t.co/BDUQa27f2n #IndonesiaKuat #BangkitBersama",Pulau Impian
SeputarPendekar,"BUDI DJIWANDONO: CAK IMIN CALON KUAT WAKIL PRESIDEN PRABOWO 2024

#IndonesiaKuat 
#BangkitBersama Prabowo Subianto https://t.co/QQzVHN4hJk",
gaspoll2024,"Gus Muhaimin terima mandat ratusan Kepala Desa se-Jawa Timur untuk maju sebagai Calon Presiden pada 2024 mendatang.... Budal Gus!!

#gaspoll #GusMuhaiminAsikPoll #CakImin #mandatkades #budalgus https://t.co/VZjeUnb02h","DKI Jakarta, Indonesia"
Disuruh_Iben,Gerindra: Cak Imin Termasuk Calon Kuat Cawapres Prabowo Subianto - detikNews https://t.co/RDmYT1KGou #IndonesiaKuat #BangkitBersama,Pulau Impian
hardian8831,@cakimiNOW Cak Imin TOP.,
habib_syechrell,"Gerindra Tegaskan Cak Imin Masih Cawapres Potensial, Prabowo Bertemu Khofifah
https://t.co/dyeDyOxujd",Tegal Jawa Tengah Indonesia
liputan6dotcom,"Prabowo Bertemu Khofifah, Gerindra Tegaskan Cak Imin Masih Cawapres Potensial https://t.co/HgkRU9awO7",INDONESIA
rmp_officials,"Cak Imin tidak bisa diragukan lagi soal ke-NU-an, beliau lahir, besar dan dididik oleh keluarga NU!

#CakImin #GusMuhaimin #Muhaimin #MuhaiminIskandar #SatuAbadNU #NahdlatulUlama #NU https://t.co/w9E2EE9B90",
merdekadotcom,"Prabowo Ketemu Khofifah, Gerindra Tegaskan Cak Imin Cawapres Paling Potensial https://t.co/ixxVL5UM5M",Indonesia
tvOneNews,"Temui Khofifah, Prabowo Disebut Sudah 'Lapor' Cak Imin https://t.co/85yj2w7N5q",Pulo Gadung
zakyarin97,"@BarikadeGusDur Dengan segala hormat kepada Gus Dur sebagai Guru Bangsa, meskipun saya juga berpandangan apa yang dilakukan Cak Imin ke Gus Dur dulu tak patut, tidak bisa diabaikan juga kenyataan, bahwa Gus Dur dulu juga melakukan hal yang sama ke Pak Matori dan Pak Alwi.
https://t.co/ttePdcQGZj",
CakImin63231343,Ini baru satu partai yg menggerakkan.. kalau 3 partai semakin ketat ketir istana Diraja.,
kerangkapikir,"Tokoh NU Dinilai Punya Kekuatan Elektoral untuk Pilpres, Muncul Nama Cak Imin, Mahfud MD hingga Khofifah https://t.co/s0yhkctxpt",
muchlis_ar,"Kekuatan Tokoh2 NU

Cak Imin, Pak Mahfud, dan Bu Khofifah menjadi 3 tokoh NU paling banyak dipilih publik nasional untuk ajang Pilpres 2024. 

Hasil survei kekuatan elektoral Nahdlatul Ulama selengkapnya sudah tayang di SMRC TV. 

Linknya di sini: https://t.co/pApm6gRac3 https://t.co/Ex2PfwXqad",Jakarta Capital Region
edie_candra,"#BudalGusMuhaimin
@cakimiNOW @DPP_PKB
Sejumlah Kepala Daerah di Jatim Dukung Cak Imin Capres 2024 https://t.co/B1X8nHm7rH","Kalimantan Tengah, Indonesia"
Forum_Daerah,"Dukung Maju Capres, Cak Imin Galang Dukungan dari Kepala Daerah di Jatim

Simak berita selengkapnya klik link berikut👇🏻
https://t.co/EH72JQXql4

#Capres #CakImin #KepalaDaerah #jawatimur",
OposisiCerdas,"Cak Imin Sebut Bakal Ada Koalisi Baru di Pilpres 2024: Yang Terpecah Jadi Gabung
https://t.co/MQZFTtB7Us",
felen_fery,@KompasTV Cak imin sedang cari pendukung untuk 2024,
BentengSumbar,"Cak Imin Prediksi Akan Lahir Koalisi Baru Jelang Pilpres 2024

https://t.co/ngPsinuw0O",Padang
monitorind,"Singgung Soal Otonomi Daerah, Cak Imin: Salah Satu Kesalahan Terbesar Kita Menyeragamkan Apa Saja https://t.co/9ffMeDA876",
Budionotaslim3,@ch_chotimah2 @aniesbaswedan @satriohendri @jokowi @PDI_Perjuangan @puanmaharani_ri @ganjarpranowo Klo GP oke kok baru PSI yg dukung partai nol koma hahaha...baru baca berita fix PDIP usung bu capres Puan dan cawapres pak Yusril Ihza Mahendra mau protes PDIP gih sono napa gak dukung GP KIB dukung pak PS dan cak Imin kasian deh loh,
ba_wcksn,@Umar_Hasibuan__ Cak Imin kok ga ada?,"Yogyakarta, Indonesia"
radiomercury96,"Sikapi pertemuan Prabowo-Khofifah, Cak Imin pastikan koalisi PKB-Gerindra tetap utuh via @radiomercury96 https://t.co/lFJu7jFSzq","Kota Surabaya, East Java"
merdekadotcom,Cak Imin: Semoga Bulan Depan Sudah Ada Keputusan Capres Cawapres https://t.co/al8vObswVU,Indonesia
LebaLeba11,"Gus Muhaimin diberi mandat oleh kepala desa sebagai tokoh nasional untuk memimpin dan menyatukan Indonesia. 🇮🇩🇮🇩🇮🇩

#budalgus #gusmuhaiminberangkat #gusmuhaimin #MuhaiminIskandar  
#pkb 
#cakimin https://t.co/Fb1VYQPBzn",Lembata 
gaspoll2024,"Sejumlah Kepala Daerah di Jatim Dukung Cak Imin Capres 2024

#gaspoll #GusMuhaiminAsikPoll #CakImin #capres2024 https://t.co/4zSxeUQylB","DKI Jakarta, Indonesia"
rhinoxeros_,@fajartujuhbelas miss tembem x cak imin,sakuragaoka
Kop15achet,"@cakimiNOW Cakimin pancen oyee, akeh duite..",
teknobambang74,Sejumlah Kepala Daerah di Jatim Dukung Cak Imin Capres 2024 https://t.co/sJt2on8TIw,"Riau, Indonesia"
EmanSenator,"@Dedikwoe Hanya PKB yg Sanggup, Yakin Cak Imin Bisa.",
liputan6dotcom,"Cak Imin: Februari-April Banyak Komunikasi Intensif, Kemungkinan Ada Koalisi Baru Jelang Pemilu 2024 https://t.co/rQrpYqYeYA",INDONESIA
merdekadotcom,Cak Imin Prediksi akan Lahir Koalisi Baru Jelang Pilpres 2024 https://t.co/14wXpGBZle,Indonesia
KompasTV,Cak Imin Imbau Pemerintah agar Alokasikan Dana Desa Rp 5 Miliar Per Tahun https://t.co/qCuVZn4bHw,Indonesia
KompasTV,"Soal Golkar dan NasDem, Cak Imin: Kemungkinan Dua Parpol ini Gabung Koalisi Gerindra-PKB https://t.co/aqo07DrKvC",Indonesia
Dedikwoe,"Rp 1 Miliar Masih Kecil, Cak Imin Yakin APBN Masih Sanggup Alokasikan Rp 5 Miliar Per Desa https://t.co/1vfPg1bcdh",
AsepSeptiyana_,"Waaadduuhh gawat guys, ternyata begini keadaan Cak Imin dengan NU 😌😌😌 #muhaiminiskandar #cakimin #pkb #1abadnu #NU #IndonesiaJuara #IndonesiaMaju https://t.co/53NbfGGUhN",
Edymaull,"Cak imin tak hadir acara 1 abad NU 
#cakimin #pkb #partaikebangkitanbangsa #nadhatululama #1abadnu #pengkhianat #Pilpres2024 https://t.co/FetX40oceo",
Agamsyah1998,"Cak imin tak datang di satu abad NU.
#cakimin #satuabadnu https://t.co/luy1HcoMv3","Bandung, Jawa Barat"
ketikmedia,"Sujiwo Tejo Moderatori Acara Cak Imin: Saya Bukan Kader

Sumber: https://t.co/rK3U5xhcxg | Media Kolaborasi Indonesia.
https://t.co/5a9aWo9h3i

#sujiwotejo #sudjiwotedjo #sujiwotedjo #politik #politikindonesia #beritapolitik #berita #beritahariini #pkb #muhaiminiskandar https://t.co/49QgyGEQUL",
ahmadhellishfau,#JokowiCakImin #JoinKepri2019 #NasionalisReligius FOLLOW | RETWEET | LIKE | KOMEN Jokowi-CakImin https://t.co/R05nlYjIbD,
rahmadhdyt709,"Cakimin tak hadiri di acara NU.
#cakimin #nadhatululama #PKB #Pilpres2024 #waspadacapresradikal #penghianat https://t.co/ZswLyu8lgR",
PutraAlamsyahJ1,"Waduh... Cak Imin Cak Imin...!!! 
#PKB #pkbuntukbangsa #satuabadnu #NahdlatulUlama #GusMuhaiminBerangkat #GusMuhaimin #Pilpres2024 https://t.co/qN1Ck05YLb",
mrivaldo1207,"cak imin tidak hadiri 1 abad Nu
#nahdhatululama 
#nahdhatululamaindonesia 
#nahdhatululama1abad 
#cakimin 
#cakiminpresiden2024 
#pkb https://t.co/fzMzWX8G8y",
andrikingo77,PKB ditangan Cak Imin tercabut dari NU karena berkhianat terhadap Gusdur #partaikebangkitanbangsa #nahdlatululama #satuabadNU #tidakhadir #pengkhianat #gusdur #politik https://t.co/49ZzPWKBvt,
dpwpkbdiy,"Rp 1 Miliar Masih Kecil, Cak Imin Yakin APBN Masih Sanggup Alokasikan Rp 5 Miliar Per Desa https://t.co/8eZJY6LLwi","Yogyakarta, Indonesia"
IDNTimes,"Didukung Kades se-Jatim Nyapres, Cak Imin Janji Beri Dana Desa Rp5 M https://t.co/4efrVSDHD5",
Sulisti60188128,@CakImin_Bulian @cakimiNOW 👍mantap,"Sumatera Selatan, Indonesia"
ariessd_io,"Lontaran PKB "" Cak Imin Harga Mati "" Setelah Pertemuan Prabowo - Khofifah , Menuai Tafsir Jika Pertemuan Tidak Menghasilkan Apa"", 
Ini Tentu Menjadi Hal Terbukanya Koalisi Perubahan Menggandeng Khofifah Agar Koalisi Perubahan Bisa Menguasai Jatim .

https://t.co/L4ARceGtct","Jawa Tengah, Indonesia"
fauzanfuadiFF,"Budal Gus!
@cakiminow

#Muhaiminiskandar 
#gusmuhaimin 
#cakimin 
#budalgus
#1pkb 
#pkb 
#pkbjatim 
#konkret https://t.co/d27wueHGD8",
Disuruh_Iben,Mati-matian Dorong Elektabilitas Airlangga dan Cak Imin - https://t.co/XyRg6gsE1C https://t.co/kYxgiO9JHr #PrabowoPeduli #BangkitBersama,Pulau Impian
Komunitas_98,Cak Imin Tak Ingin Komentari Pertemuan Prabowo dan Khofifah https://t.co/np90o1r1po,Jakarta - Indonesia
info_kita2,Cak Imin Tak Ingin Komentari Pertemuan Prabowo dan Khofifah https://t.co/14jFBUZ6hT,
